Sexo;Federación;Comunidad autónoma;periodo;Total
Mujeres;Kickboxing y Muaythai;Cantabria;2019;60
Mujeres;Kickboxing y Muaythai;Cantabria;2018;39
Mujeres;Kickboxing y Muaythai;Cantabria;2017;18
Mujeres;Kickboxing y Muaythai;Cantabria;2016;12
Mujeres;Kickboxing y Muaythai;Cantabria;2015;4
Mujeres;Kickboxing y Muaythai;Cantabria;2014;5
Mujeres;Kickboxing y Muaythai;Cantabria;2013;8
Mujeres;Kickboxing y Muaythai;Cantabria;2012;6
Mujeres;Kickboxing y Muaythai;Cantabria;2011;3
Mujeres;Kickboxing y Muaythai;Cantabria;2010;0
Mujeres;Kickboxing y Muaythai;Cantabria;2009;0
Mujeres;Kickboxing y Muaythai;Castilla y León;2024;415
Mujeres;Kickboxing y Muaythai;Castilla y León;2023;456
Mujeres;Kickboxing y Muaythai;Castilla y León;2022;318
Mujeres;Kickboxing y Muaythai;Castilla y León;2021;288
Mujeres;Kickboxing y Muaythai;Castilla y León;2020;308
Mujeres;Kickboxing y Muaythai;Castilla y León;2019;361
Mujeres;Kickboxing y Muaythai;Castilla y León;2018;207
Mujeres;Kickboxing y Muaythai;Castilla y León;2017;234
Mujeres;Kickboxing y Muaythai;Castilla y León;2016;174
Mujeres;Kickboxing y Muaythai;Castilla y León;2015;91
Mujeres;Kickboxing y Muaythai;Castilla y León;2014;117
Mujeres;Kickboxing y Muaythai;Castilla y León;2013;98
Mujeres;Kickboxing y Muaythai;Castilla y León;2012;134
Mujeres;Kickboxing y Muaythai;Castilla y León;2011;71
Mujeres;Kickboxing y Muaythai;Castilla y León;2010;60
Mujeres;Kickboxing y Muaythai;Castilla y León;2009;68
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2024;114
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2023;81
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2022;91
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2021;82
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2020;94
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2019;81
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2018;74
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2017;108
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2016;79
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2015;20
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2014;10
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2013;7
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2012;7
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2011;7
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2010;12
Mujeres;Kickboxing y Muaythai;Castilla-La Mancha;2009;12
Mujeres;Kickboxing y Muaythai;Cataluña;2024;285
Mujeres;Kickboxing y Muaythai;Cataluña;2023;280
Mujeres;Kickboxing y Muaythai;Cataluña;2022;231
Mujeres;Kickboxing y Muaythai;Cataluña;2021;103
Mujeres;Kickboxing y Muaythai;Cataluña;2020;83
Mujeres;Kickboxing y Muaythai;Cataluña;2019;135
Mujeres;Kickboxing y Muaythai;Cataluña;2018;184
Mujeres;Kickboxing y Muaythai;Cataluña;2017;127
Mujeres;Kickboxing y Muaythai;Cataluña;2016;45
Mujeres;Kickboxing y Muaythai;Cataluña;2015;47
Mujeres;Kickboxing y Muaythai;Cataluña;2014;77
Mujeres;Kickboxing y Muaythai;Cataluña;2013;90
Mujeres;Kickboxing y Muaythai;Cataluña;2012;99
Mujeres;Kickboxing y Muaythai;Cataluña;2011;81
Mujeres;Kickboxing y Muaythai;Cataluña;2010;66
Mujeres;Kickboxing y Muaythai;Cataluña;2009;48
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2024;534
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2023;491
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2022;392
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2021;531
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2020;399
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2019;277
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2018;213
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2017;182
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2016;506
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2015;30
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2014;24
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2013;2
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2012;35
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2011;33
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2010;69
Mujeres;Kickboxing y Muaythai;Comunitat Valenciana;2009;3
Mujeres;Kickboxing y Muaythai;Extremadura;2024;69
Mujeres;Kickboxing y Muaythai;Extremadura;2023;112
Mujeres;Kickboxing y Muaythai;Extremadura;2022;57
Mujeres;Kickboxing y Muaythai;Extremadura;2021;45
Mujeres;Kickboxing y Muaythai;Extremadura;2020;26
Mujeres;Kickboxing y Muaythai;Extremadura;2019;30
Mujeres;Kickboxing y Muaythai;Extremadura;2018;32
Mujeres;Kickboxing y Muaythai;Extremadura;2017;27
Mujeres;Kickboxing y Muaythai;Extremadura;2016;13
Mujeres;Kickboxing y Muaythai;Extremadura;2015;11
Mujeres;Kickboxing y Muaythai;Extremadura;2014;9
Mujeres;Kickboxing y Muaythai;Extremadura;2013;7
Mujeres;Kickboxing y Muaythai;Extremadura;2012;5
Mujeres;Kickboxing y Muaythai;Extremadura;2011;3
Mujeres;Kickboxing y Muaythai;Extremadura;2010;11
Mujeres;Kickboxing y Muaythai;Extremadura;2009;5
Mujeres;Kickboxing y Muaythai;Galicia;2024;99
Mujeres;Kickboxing y Muaythai;Galicia;2023;100
Mujeres;Kickboxing y Muaythai;Galicia;2022;219
Mujeres;Kickboxing y Muaythai;Galicia;2021;411
Mujeres;Kickboxing y Muaythai;Galicia;2020;323
Mujeres;Kickboxing y Muaythai;Galicia;2019;333
Mujeres;Kickboxing y Muaythai;Galicia;2018;285
Mujeres;Kickboxing y Muaythai;Galicia;2017;228
Mujeres;Kickboxing y Muaythai;Galicia;2016;246
Mujeres;Kickboxing y Muaythai;Galicia;2015;36
Mujeres;Kickboxing y Muaythai;Galicia;2014;44
Mujeres;Kickboxing y Muaythai;Galicia;2013;29
Mujeres;Kickboxing y Muaythai;Galicia;2012;31
Mujeres;Kickboxing y Muaythai;Galicia;2011;34
Mujeres;Kickboxing y Muaythai;Galicia;2010;27
Mujeres;Kickboxing y Muaythai;Galicia;2009;29
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2024;63
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2023;92
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2022;71
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2021;64
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2020;29
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2019;3
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2018;25
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2017;15
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2016;24
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2015;20
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2014;19
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2013;25
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2012;24
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2011;31
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2010;20
Mujeres;Kickboxing y Muaythai;Madrid, Comunidad de;2009;38
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2024;128
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2023;105
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2022;81
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2021;45
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2020;42
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2019;39
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2018;38
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2017;30
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2016;19
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2015;10
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2014;18
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2013;11
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2012;14
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2011;9
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2010;18
Mujeres;Kickboxing y Muaythai;Murcia, Región de;2009;12
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2024;17
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2023;18
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2022;15
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2021;18
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2020;19
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2019;18
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2018;23
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2017;49
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2016;70
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2015;0
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2014;0
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2013;0
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2012;0
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2011;0
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2010;0
Mujeres;Kickboxing y Muaythai;Navarra, Comunidad Foral de;2009;0
Mujeres;Kickboxing y Muaythai;País Vasco;2024;106
Mujeres;Kickboxing y Muaythai;País Vasco;2023;45
Mujeres;Kickboxing y Muaythai;País Vasco;2022;38
Mujeres;Kickboxing y Muaythai;País Vasco;2021;18
Mujeres;Kickboxing y Muaythai;País Vasco;2020;186
Mujeres;Kickboxing y Muaythai;País Vasco;2019;275
Mujeres;Kickboxing y Muaythai;País Vasco;2018;170
Mujeres;Kickboxing y Muaythai;País Vasco;2017;128
Mujeres;Kickboxing y Muaythai;País Vasco;2016;70
Mujeres;Kickboxing y Muaythai;País Vasco;2015;37
Mujeres;Kickboxing y Muaythai;País Vasco;2014;36
Mujeres;Kickboxing y Muaythai;País Vasco;2013;20
Mujeres;Kickboxing y Muaythai;País Vasco;2012;20
Mujeres;Kickboxing y Muaythai;País Vasco;2011;17
Mujeres;Kickboxing y Muaythai;País Vasco;2010;9
Mujeres;Kickboxing y Muaythai;País Vasco;2009;5
Mujeres;Kickboxing y Muaythai;Rioja, La;2024;207
Mujeres;Kickboxing y Muaythai;Rioja, La;2023;91
Mujeres;Kickboxing y Muaythai;Rioja, La;2022;108
Mujeres;Kickboxing y Muaythai;Rioja, La;2021;104
Mujeres;Kickboxing y Muaythai;Rioja, La;2020;97
Mujeres;Kickboxing y Muaythai;Rioja, La;2019;94
Mujeres;Kickboxing y Muaythai;Rioja, La;2018;71
Mujeres;Kickboxing y Muaythai;Rioja, La;2017;58
Mujeres;Kickboxing y Muaythai;Rioja, La;2016;56
Mujeres;Kickboxing y Muaythai;Rioja, La;2015;20
Mujeres;Kickboxing y Muaythai;Rioja, La;2014;18
Mujeres;Kickboxing y Muaythai;Rioja, La;2013;20
Mujeres;Kickboxing y Muaythai;Rioja, La;2012;26
Mujeres;Kickboxing y Muaythai;Rioja, La;2011;19
Mujeres;Kickboxing y Muaythai;Rioja, La;2010;27
Mujeres;Kickboxing y Muaythai;Rioja, La;2009;24
Mujeres;Kickboxing y Muaythai;Ceuta;2024;21
Mujeres;Kickboxing y Muaythai;Ceuta;2023;14
Mujeres;Kickboxing y Muaythai;Ceuta;2022;10
Mujeres;Kickboxing y Muaythai;Ceuta;2021;4
Mujeres;Kickboxing y Muaythai;Ceuta;2020;0
Mujeres;Kickboxing y Muaythai;Ceuta;2019;4
Mujeres;Kickboxing y Muaythai;Ceuta;2018;7
Mujeres;Kickboxing y Muaythai;Ceuta;2017;4
Mujeres;Kickboxing y Muaythai;Ceuta;2016;0
Mujeres;Kickboxing y Muaythai;Ceuta;2015;0
Mujeres;Kickboxing y Muaythai;Ceuta;2014;0
Mujeres;Kickboxing y Muaythai;Ceuta;2013;0
Mujeres;Kickboxing y Muaythai;Ceuta;2012;0
Mujeres;Kickboxing y Muaythai;Ceuta;2011;0
Mujeres;Kickboxing y Muaythai;Ceuta;2010;7
Mujeres;Kickboxing y Muaythai;Ceuta;2009;4
Mujeres;Kickboxing y Muaythai;Melilla;2024;0
Mujeres;Kickboxing y Muaythai;Melilla;2023;4
Mujeres;Kickboxing y Muaythai;Melilla;2022;0
Mujeres;Kickboxing y Muaythai;Melilla;2021;0
Mujeres;Kickboxing y Muaythai;Melilla;2020;0
Mujeres;Kickboxing y Muaythai;Melilla;2019;0
Mujeres;Kickboxing y Muaythai;Melilla;2018;0
Mujeres;Kickboxing y Muaythai;Melilla;2017;0
Mujeres;Kickboxing y Muaythai;Melilla;2016;0
Mujeres;Kickboxing y Muaythai;Melilla;2015;0
Mujeres;Kickboxing y Muaythai;Melilla;2014;0
Mujeres;Kickboxing y Muaythai;Melilla;2013;0
Mujeres;Kickboxing y Muaythai;Melilla;2012;0
Mujeres;Kickboxing y Muaythai;Melilla;2011;0
Mujeres;Kickboxing y Muaythai;Melilla;2010;0
Mujeres;Kickboxing y Muaythai;Melilla;2009;0
Mujeres;Kickboxing y Muaythai;Sin territorializar;2024;116
Mujeres;Kickboxing y Muaythai;Sin territorializar;2023;56
Mujeres;Kickboxing y Muaythai;Sin territorializar;2022;188
Mujeres;Kickboxing y Muaythai;Sin territorializar;2021;191
Mujeres;Kickboxing y Muaythai;Sin territorializar;2020;141
Mujeres;Kickboxing y Muaythai;Sin territorializar;2019;171
Mujeres;Kickboxing y Muaythai;Sin territorializar;2018;82
Mujeres;Kickboxing y Muaythai;Sin territorializar;2017;0
Mujeres;Kickboxing y Muaythai;Sin territorializar;2016;0
Mujeres;Kickboxing y Muaythai;Sin territorializar;2015;0
Mujeres;Kickboxing y Muaythai;Sin territorializar;2014;0
Mujeres;Kickboxing y Muaythai;Sin territorializar;2013;0
Mujeres;Kickboxing y Muaythai;Sin territorializar;2012;0
Mujeres;Kickboxing y Muaythai;Sin territorializar;2011;0
Mujeres;Kickboxing y Muaythai;Sin territorializar;2010;0
Mujeres;Kickboxing y Muaythai;Sin territorializar;2009;0
Mujeres;Luchas Olímpicas;TOTAL;2024;4.693
Mujeres;Luchas Olímpicas;TOTAL;2023;4.883
Mujeres;Luchas Olímpicas;TOTAL;2022;3.764
Mujeres;Luchas Olímpicas;TOTAL;2021;3.213
Mujeres;Luchas Olímpicas;TOTAL;2020;2.051
Mujeres;Luchas Olímpicas;TOTAL;2019;2.158
Mujeres;Luchas Olímpicas;TOTAL;2018;2.015
Mujeres;Luchas Olímpicas;TOTAL;2017;1.245
Mujeres;Luchas Olímpicas;TOTAL;2016;961
Mujeres;Luchas Olímpicas;TOTAL;2015;1.958
Mujeres;Luchas Olímpicas;TOTAL;2014;2.355
Mujeres;Luchas Olímpicas;TOTAL;2013;2.608
Mujeres;Luchas Olímpicas;TOTAL;2012;1.101
Mujeres;Luchas Olímpicas;TOTAL;2011;2.075
Mujeres;Luchas Olímpicas;TOTAL;2010;1.932
Mujeres;Luchas Olímpicas;TOTAL;2009;1.704
Mujeres;Luchas Olímpicas;Andalucía;2024;526
Mujeres;Luchas Olímpicas;Andalucía;2023;329
Mujeres;Luchas Olímpicas;Andalucía;2022;302
Mujeres;Luchas Olímpicas;Andalucía;2021;258
Mujeres;Luchas Olímpicas;Andalucía;2020;214
Mujeres;Luchas Olímpicas;Andalucía;2019;232
Mujeres;Luchas Olímpicas;Andalucía;2018;117
Mujeres;Luchas Olímpicas;Andalucía;2017;82
Mujeres;Luchas Olímpicas;Andalucía;2016;40
Mujeres;Luchas Olímpicas;Andalucía;2015;385
Mujeres;Luchas Olímpicas;Andalucía;2014;620
Mujeres;Luchas Olímpicas;Andalucía;2013;719
Mujeres;Luchas Olímpicas;Andalucía;2012;136
Mujeres;Luchas Olímpicas;Andalucía;2011;155
Mujeres;Luchas Olímpicas;Andalucía;2010;183
Mujeres;Luchas Olímpicas;Andalucía;2009;338
Mujeres;Luchas Olímpicas;Aragón;2024;17
Mujeres;Luchas Olímpicas;Aragón;2023;14
Mujeres;Luchas Olímpicas;Aragón;2022;16
Mujeres;Luchas Olímpicas;Aragón;2021;12
Mujeres;Luchas Olímpicas;Aragón;2020;5
Mujeres;Luchas Olímpicas;Aragón;2019;14
Mujeres;Luchas Olímpicas;Aragón;2018;2
Mujeres;Luchas Olímpicas;Aragón;2017;24
Mujeres;Luchas Olímpicas;Aragón;2016;24
Mujeres;Luchas Olímpicas;Aragón;2015;6
Mujeres;Luchas Olímpicas;Aragón;2014;6
Mujeres;Luchas Olímpicas;Aragón;2013;32
Mujeres;Luchas Olímpicas;Aragón;2012;2
Mujeres;Luchas Olímpicas;Aragón;2011;22
Mujeres;Luchas Olímpicas;Aragón;2010;17
Mujeres;Luchas Olímpicas;Aragón;2009;13
Mujeres;Luchas Olímpicas;Asturias, Principado de;2024;108
Mujeres;Luchas Olímpicas;Asturias, Principado de;2023;114
Mujeres;Luchas Olímpicas;Asturias, Principado de;2022;94
Mujeres;Luchas Olímpicas;Asturias, Principado de;2021;76
Mujeres;Luchas Olímpicas;Asturias, Principado de;2020;59
Mujeres;Luchas Olímpicas;Asturias, Principado de;2019;58
Mujeres;Luchas Olímpicas;Asturias, Principado de;2018;55
Mujeres;Luchas Olímpicas;Asturias, Principado de;2017;59
Mujeres;Luchas Olímpicas;Asturias, Principado de;2016;58
Mujeres;Luchas Olímpicas;Asturias, Principado de;2015;23
Mujeres;Luchas Olímpicas;Asturias, Principado de;2014;19
Mujeres;Luchas Olímpicas;Asturias, Principado de;2013;46
Mujeres;Luchas Olímpicas;Asturias, Principado de;2012;15
Mujeres;Luchas Olímpicas;Asturias, Principado de;2011;14
Mujeres;Luchas Olímpicas;Asturias, Principado de;2010;15
Mujeres;Luchas Olímpicas;Asturias, Principado de;2009;7
Mujeres;Luchas Olímpicas;Balears, Illes;2024;199
Mujeres;Luchas Olímpicas;Balears, Illes;2023;188
Mujeres;Luchas Olímpicas;Balears, Illes;2022;176
Mujeres;Luchas Olímpicas;Balears, Illes;2021;224
Mujeres;Luchas Olímpicas;Balears, Illes;2020;123
Mujeres;Luchas Olímpicas;Balears, Illes;2019;121
Mujeres;Luchas Olímpicas;Balears, Illes;2018;120
Mujeres;Luchas Olímpicas;Balears, Illes;2017;119
Mujeres;Luchas Olímpicas;Balears, Illes;2016;95
Mujeres;Luchas Olímpicas;Balears, Illes;2015;83
Mujeres;Luchas Olímpicas;Balears, Illes;2014;90
Mujeres;Luchas Olímpicas;Balears, Illes;2013;30
Mujeres;Luchas Olímpicas;Balears, Illes;2012;15
Mujeres;Luchas Olímpicas;Balears, Illes;2011;206
Mujeres;Luchas Olímpicas;Balears, Illes;2010;208
Mujeres;Luchas Olímpicas;Balears, Illes;2009;20
Mujeres;Luchas Olímpicas;Canarias;2024;414
Mujeres;Luchas Olímpicas;Canarias;2023;264
Mujeres;Luchas Olímpicas;Canarias;2022;182
Mujeres;Luchas Olímpicas;Canarias;2021;127
Mujeres;Luchas Olímpicas;Canarias;2020;131
Mujeres;Luchas Olímpicas;Canarias;2019;192
Mujeres;Luchas Olímpicas;Canarias;2018;82
Mujeres;Luchas Olímpicas;Canarias;2017;42
Mujeres;Luchas Olímpicas;Canarias;2016;39
Mujeres;Luchas Olímpicas;Canarias;2015;90
Mujeres;Luchas Olímpicas;Canarias;2014;65
Mujeres;Luchas Olímpicas;Canarias;2013;75
Mujeres;Luchas Olímpicas;Canarias;2012;453
Mujeres;Luchas Olímpicas;Canarias;2011;599
Mujeres;Luchas Olímpicas;Canarias;2010;606
Mujeres;Luchas Olímpicas;Canarias;2009;554
Mujeres;Luchas Olímpicas;Cantabria;2024;87
Mujeres;Luchas Olímpicas;Cantabria;2023;78
Mujeres;Luchas Olímpicas;Cantabria;2022;70
Mujeres;Luchas Olímpicas;Cantabria;2021;26
Mujeres;Luchas Olímpicas;Cantabria;2020;25
Mujeres;Luchas Olímpicas;Cantabria;2019;27
Mujeres;Luchas Olímpicas;Cantabria;2018;13
Mujeres;Luchas Olímpicas;Cantabria;2017;24
Mujeres;Luchas Olímpicas;Cantabria;2016;23
Mujeres;Luchas Olímpicas;Cantabria;2015;12
Mujeres;Luchas Olímpicas;Cantabria;2014;63
Mujeres;Luchas Olímpicas;Cantabria;2013;1
Mujeres;Luchas Olímpicas;Cantabria;2012;34
Mujeres;Luchas Olímpicas;Cantabria;2011;0
Mujeres;Luchas Olímpicas;Cantabria;2010;0
Mujeres;Luchas Olímpicas;Cantabria;2009;0
Mujeres;Luchas Olímpicas;Castilla y León;2024;311
Mujeres;Luchas Olímpicas;Castilla y León;2023;245
Mujeres;Luchas Olímpicas;Castilla y León;2022;273
Mujeres;Luchas Olímpicas;Castilla y León;2021;244
Mujeres;Luchas Olímpicas;Castilla y León;2020;123
Mujeres;Luchas Olímpicas;Castilla y León;2019;74
Mujeres;Luchas Olímpicas;Castilla y León;2018;185
Mujeres;Luchas Olímpicas;Castilla y León;2017;60
Mujeres;Luchas Olímpicas;Castilla y León;2016;70
Mujeres;Luchas Olímpicas;Castilla y León;2015;63
Mujeres;Luchas Olímpicas;Castilla y León;2014;46
Mujeres;Luchas Olímpicas;Castilla y León;2013;37
Mujeres;Luchas Olímpicas;Castilla y León;2012;90
Mujeres;Luchas Olímpicas;Castilla y León;2011;116
Mujeres;Luchas Olímpicas;Castilla y León;2010;99
Mujeres;Luchas Olímpicas;Castilla y León;2009;99
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2024;94
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2023;96
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2022;100
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2021;122
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2020;102
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2019;84
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2018;101
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2017;30
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2016;22
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2015;30
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2014;23
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2013;5
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2012;15
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2011;228
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2010;206
Mujeres;Luchas Olímpicas;Castilla-La Mancha;2009;45
Mujeres;Luchas Olímpicas;Cataluña;2024;411
Mujeres;Luchas Olímpicas;Cataluña;2023;237
Mujeres;Luchas Olímpicas;Cataluña;2022;207
Mujeres;Luchas Olímpicas;Cataluña;2021;175
Mujeres;Luchas Olímpicas;Cataluña;2020;187
Mujeres;Luchas Olímpicas;Cataluña;2019;190
Mujeres;Luchas Olímpicas;Cataluña;2018;153
Mujeres;Luchas Olímpicas;Cataluña;2017;29
Mujeres;Luchas Olímpicas;Cataluña;2016;31
Mujeres;Luchas Olímpicas;Cataluña;2015;125
Mujeres;Luchas Olímpicas;Cataluña;2014;125
Mujeres;Luchas Olímpicas;Cataluña;2013;47
Mujeres;Luchas Olímpicas;Cataluña;2012;90
Mujeres;Luchas Olímpicas;Cataluña;2011;99
Mujeres;Luchas Olímpicas;Cataluña;2010;102
Mujeres;Luchas Olímpicas;Cataluña;2009;90
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2024;300
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2023;568
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2022;275
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2021;253
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2020;20
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2019;96
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2018;148
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2017;72
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2016;35
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2015;4
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2014;51
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2013;55
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2012;54
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2011;193
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2010;156
Mujeres;Luchas Olímpicas;Comunitat Valenciana;2009;191
Mujeres;Luchas Olímpicas;Extremadura;2024;67
Mujeres;Luchas Olímpicas;Extremadura;2023;104
Mujeres;Luchas Olímpicas;Extremadura;2022;110
Mujeres;Luchas Olímpicas;Extremadura;2021;55
Mujeres;Luchas Olímpicas;Extremadura;2020;44
Mujeres;Luchas Olímpicas;Extremadura;2019;46
Mujeres;Luchas Olímpicas;Extremadura;2018;54
Mujeres;Luchas Olímpicas;Extremadura;2017;56
Mujeres;Luchas Olímpicas;Extremadura;2016;50
Mujeres;Luchas Olímpicas;Extremadura;2015;21
Mujeres;Luchas Olímpicas;Extremadura;2014;6
Mujeres;Luchas Olímpicas;Extremadura;2013;0
Mujeres;Luchas Olímpicas;Extremadura;2012;6
Mujeres;Luchas Olímpicas;Extremadura;2011;6
Mujeres;Luchas Olímpicas;Extremadura;2010;3
Mujeres;Luchas Olímpicas;Extremadura;2009;15
Mujeres;Luchas Olímpicas;Galicia;2024;339
Mujeres;Luchas Olímpicas;Galicia;2023;681
Mujeres;Luchas Olímpicas;Galicia;2022;302
Mujeres;Luchas Olímpicas;Galicia;2021;510
Mujeres;Luchas Olímpicas;Galicia;2020;322
Mujeres;Luchas Olímpicas;Galicia;2019;137
Mujeres;Luchas Olímpicas;Galicia;2018;641
Mujeres;Luchas Olímpicas;Galicia;2017;188
Mujeres;Luchas Olímpicas;Galicia;2016;151
Mujeres;Luchas Olímpicas;Galicia;2015;190
Mujeres;Luchas Olímpicas;Galicia;2014;301
Mujeres;Luchas Olímpicas;Galicia;2013;344
Mujeres;Luchas Olímpicas;Galicia;2012;27
Mujeres;Luchas Olímpicas;Galicia;2011;98
Mujeres;Luchas Olímpicas;Galicia;2010;73
Mujeres;Luchas Olímpicas;Galicia;2009;55
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2024;881
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2023;1.128
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2022;1.120
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2021;784
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2020;246
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2019;625
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2018;189
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2017;261
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2016;173
Mujeres;Luchas Olímpicas;Madrid, Comunidad de;2015;232
