Sexo;Federación;Comunidad autónoma;periodo;Total
TOTAL;TOTAL;Madrid, Comunidad de;2023;589.395
TOTAL;TOTAL;Madrid, Comunidad de;2022;559.540
TOTAL;TOTAL;Madrid, Comunidad de;2021;476.584
TOTAL;TOTAL;Madrid, Comunidad de;2020;502.044
TOTAL;TOTAL;Madrid, Comunidad de;2019;523.480
TOTAL;TOTAL;Madrid, Comunidad de;2018;508.973
TOTAL;TOTAL;Madrid, Comunidad de;2017;462.013
TOTAL;TOTAL;Madrid, Comunidad de;2016;451.169
TOTAL;TOTAL;Madrid, Comunidad de;2015;445.931
TOTAL;TOTAL;Madrid, Comunidad de;2014;437.927
TOTAL;TOTAL;Madrid, Comunidad de;2013;428.072
TOTAL;TOTAL;Madrid, Comunidad de;2012;424.077
TOTAL;TOTAL;Madrid, Comunidad de;2011;430.226
TOTAL;TOTAL;Madrid, Comunidad de;2010;419.336
TOTAL;TOTAL;Madrid, Comunidad de;2009;432.305
TOTAL;TOTAL;Murcia, Región de;2024;132.625
TOTAL;TOTAL;Murcia, Región de;2023;149.993
TOTAL;TOTAL;Murcia, Región de;2022;126.892
TOTAL;TOTAL;Murcia, Región de;2021;117.271
TOTAL;TOTAL;Murcia, Región de;2020;128.953
TOTAL;TOTAL;Murcia, Región de;2019;129.891
TOTAL;TOTAL;Murcia, Región de;2018;122.322
TOTAL;TOTAL;Murcia, Región de;2017;120.382
TOTAL;TOTAL;Murcia, Región de;2016;95.681
TOTAL;TOTAL;Murcia, Región de;2015;93.788
TOTAL;TOTAL;Murcia, Región de;2014;90.294
TOTAL;TOTAL;Murcia, Región de;2013;89.838
TOTAL;TOTAL;Murcia, Región de;2012;88.654
TOTAL;TOTAL;Murcia, Región de;2011;91.288
TOTAL;TOTAL;Murcia, Región de;2010;94.769
TOTAL;TOTAL;Murcia, Región de;2009;91.660
TOTAL;TOTAL;Navarra, Comunidad Foral de;2024;87.068
TOTAL;TOTAL;Navarra, Comunidad Foral de;2023;87.553
TOTAL;TOTAL;Navarra, Comunidad Foral de;2022;84.407
TOTAL;TOTAL;Navarra, Comunidad Foral de;2021;78.178
TOTAL;TOTAL;Navarra, Comunidad Foral de;2020;79.583
TOTAL;TOTAL;Navarra, Comunidad Foral de;2019;78.826
TOTAL;TOTAL;Navarra, Comunidad Foral de;2018;79.026
TOTAL;TOTAL;Navarra, Comunidad Foral de;2017;76.732
TOTAL;TOTAL;Navarra, Comunidad Foral de;2016;76.734
TOTAL;TOTAL;Navarra, Comunidad Foral de;2015;75.343
TOTAL;TOTAL;Navarra, Comunidad Foral de;2014;72.104
TOTAL;TOTAL;Navarra, Comunidad Foral de;2013;73.270
TOTAL;TOTAL;Navarra, Comunidad Foral de;2012;72.360
TOTAL;TOTAL;Navarra, Comunidad Foral de;2011;72.812
TOTAL;TOTAL;Navarra, Comunidad Foral de;2010;70.146
TOTAL;TOTAL;Navarra, Comunidad Foral de;2009;67.383
TOTAL;TOTAL;País Vasco;2024;270.274
TOTAL;TOTAL;País Vasco;2023;283.270
TOTAL;TOTAL;País Vasco;2022;272.206
TOTAL;TOTAL;País Vasco;2021;220.806
TOTAL;TOTAL;País Vasco;2020;264.154
TOTAL;TOTAL;País Vasco;2019;278.894
TOTAL;TOTAL;País Vasco;2018;263.848
TOTAL;TOTAL;País Vasco;2017;267.365
TOTAL;TOTAL;País Vasco;2016;213.734
TOTAL;TOTAL;País Vasco;2015;214.012
TOTAL;TOTAL;País Vasco;2014;204.877
TOTAL;TOTAL;País Vasco;2013;203.886
TOTAL;TOTAL;País Vasco;2012;209.389
TOTAL;TOTAL;País Vasco;2011;213.873
TOTAL;TOTAL;País Vasco;2010;213.473
TOTAL;TOTAL;País Vasco;2009;216.194
TOTAL;TOTAL;Rioja, La;2024;36.189
TOTAL;TOTAL;Rioja, La;2023;35.912
TOTAL;TOTAL;Rioja, La;2022;35.324
TOTAL;TOTAL;Rioja, La;2021;30.501
TOTAL;TOTAL;Rioja, La;2020;33.019
TOTAL;TOTAL;Rioja, La;2019;34.138
TOTAL;TOTAL;Rioja, La;2018;33.922
TOTAL;TOTAL;Rioja, La;2017;33.518
TOTAL;TOTAL;Rioja, La;2016;32.681
TOTAL;TOTAL;Rioja, La;2015;32.096
TOTAL;TOTAL;Rioja, La;2014;31.783
TOTAL;TOTAL;Rioja, La;2013;33.328
TOTAL;TOTAL;Rioja, La;2012;35.477
TOTAL;TOTAL;Rioja, La;2011;34.964
TOTAL;TOTAL;Rioja, La;2010;34.774
TOTAL;TOTAL;Rioja, La;2009;33.097
TOTAL;TOTAL;Ceuta;2024;7.634
TOTAL;TOTAL;Ceuta;2023;7.151
TOTAL;TOTAL;Ceuta;2022;6.024
TOTAL;TOTAL;Ceuta;2021;5.345
TOTAL;TOTAL;Ceuta;2020;5.750
TOTAL;TOTAL;Ceuta;2019;5.100
TOTAL;TOTAL;Ceuta;2018;5.953
TOTAL;TOTAL;Ceuta;2017;6.475
TOTAL;TOTAL;Ceuta;2016;8.762
TOTAL;TOTAL;Ceuta;2015;8.655
TOTAL;TOTAL;Ceuta;2014;8.218
TOTAL;TOTAL;Ceuta;2013;7.852
TOTAL;TOTAL;Ceuta;2012;8.624
TOTAL;TOTAL;Ceuta;2011;8.115
TOTAL;TOTAL;Ceuta;2010;8.320
TOTAL;TOTAL;Ceuta;2009;7.721
TOTAL;TOTAL;Melilla;2024;12.400
TOTAL;TOTAL;Melilla;2023;12.813
TOTAL;TOTAL;Melilla;2022;12.593
TOTAL;TOTAL;Melilla;2021;10.399
TOTAL;TOTAL;Melilla;2020;9.717
TOTAL;TOTAL;Melilla;2019;10.044
TOTAL;TOTAL;Melilla;2018;9.057
TOTAL;TOTAL;Melilla;2017;8.400
TOTAL;TOTAL;Melilla;2016;9.381
TOTAL;TOTAL;Melilla;2015;8.949
TOTAL;TOTAL;Melilla;2014;8.832
TOTAL;TOTAL;Melilla;2013;7.934
TOTAL;TOTAL;Melilla;2012;9.267
TOTAL;TOTAL;Melilla;2011;10.505
TOTAL;TOTAL;Melilla;2010;9.503
TOTAL;TOTAL;Melilla;2009;8.849
TOTAL;TOTAL;Sin territorializar;2024;2.305
TOTAL;TOTAL;Sin territorializar;2023;1.974
TOTAL;TOTAL;Sin territorializar;2022;3.340
TOTAL;TOTAL;Sin territorializar;2021;4.653
TOTAL;TOTAL;Sin territorializar;2020;2.846
TOTAL;TOTAL;Sin territorializar;2019;2.793
TOTAL;TOTAL;Sin territorializar;2018;1.950
TOTAL;TOTAL;Sin territorializar;2017;3.432
TOTAL;TOTAL;Sin territorializar;2016;3.270
TOTAL;TOTAL;Sin territorializar;2015;3.611
TOTAL;TOTAL;Sin territorializar;2014;4.145
TOTAL;TOTAL;Sin territorializar;2013;2.746
TOTAL;TOTAL;Sin territorializar;2012;2.139
TOTAL;TOTAL;Sin territorializar;2011;881
TOTAL;TOTAL;Sin territorializar;2010;1.009
TOTAL;TOTAL;Sin territorializar;2009;1.082
TOTAL;Actividades Subacuáticas;TOTAL;2024;32.250
TOTAL;Actividades Subacuáticas;TOTAL;2023;31.828
TOTAL;Actividades Subacuáticas;TOTAL;2022;32.289
TOTAL;Actividades Subacuáticas;TOTAL;2021;31.939
